City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
240,krasnokamensk,50.0979,118.0369,67.84,76,100,15.88,RU,1689302296
241,onguday,50.75,86.15,78.64,46,0,1.99,RU,1689302296
242,kinablangan,7.6947,126.5503,86.04,66,100,4.85,PH,1689302296
243,klyuchi,52.2667,79.1667,88.59,33,36,6.24,RU,1689302297
244,greenville,35.6127,-77.3663,80.76,93,0,7.0,US,1689302297
245,al bawiti,28.3492,28.8659,73.08,42,4,7.45,EG,1689302297
246,tocopilla,-22.092,-70.1979,63.81,70,44,2.3,CL,1689302297
247,las vegas,36.175,-115.1372,108.28,6,0,25.01,US,1689302035
248,shimoda,34.6667,138.95,84.56,78,100,14.52,JP,1689302297
249,coahuayana de hidalgo,18.7,-103.6583,80.83,89,74,3.09,MX,1689302297
250,kotabumi,-4.8333,104.9,85.14,66,73,5.79,ID,1689302297
251,corumba,-19.0092,-57.6533,57.56,58,78,3.0,BR,1689302298
252,mtimbira,-8.7833,36.35,61.63,75,48,4.29,TZ,1689302298
253,mahina,-17.5065,-149.489,82.17,65,20,5.75,PF,1689302080
254,komsomolsk-on-amur,50.552,137.0152,83.61,34,2,6.17,RU,1689302298
255,hobyo,5.3505,48.5268,76.59,84,66,24.18,SO,1689302298
256,pula,44.8683,13.8481,73.96,56,0,8.05,HR,1689302299
257,vershino-darasunskiy,52.35,115.5167,69.71,31,0,8.81,RU,1689302299
258,forster,-32.1667,152.5167,65.37,58,0,5.08,AU,1689302299
259,ariquemes,-9.9133,-63.0408,75.22,61,6,1.92,BR,1689302299
260,markovo,57.3206,107.0881,62.33,82,86,10.54,RU,1689302299
261,kovrov,56.3572,41.3192,51.93,95,100,2.17,RU,1689302299
262,zalau,47.2,23.05,62.92,96,79,5.66,RO,1689302299
263,clorinda,-25.2848,-57.7185,51.96,84,7,6.13,AR,1689302299
264,opuwo,-18.0607,13.84,48.79,35,0,3.27,NA,1689302300
265,morehead city,34.7229,-76.726,82.99,85,40,14.97,US,1689302300
266,eyl,7.9803,49.8164,78.66,66,79,25.97,SO,1689302300
267,yuzhno-kurilsk,44.0306,145.8556,56.55,93,97,8.84,RU,1689302300
268,sarkand,45.41,79.9186,92.53,15,0,6.24,KZ,1689302300
269,hamilton,39.1834,-84.5333,76.95,83,0,6.91,US,1689302169
270,rikaze,29.25,88.8833,53.11,76,100,3.47,CN,1689302300
271,carnot,4.9409,15.8665,70.66,95,99,0.47,CF,1689302300
272,nishinoomote,30.7333,131.0,86.56,79,75,12.66,JP,1689302301
273,saint-joseph,-21.3667,55.6167,68.47,89,100,16.53,RE,1689302301
274,jaguaribe,-5.8906,-38.6219,72.9,82,6,3.98,BR,1689302301
275,nguigmi,14.2495,13.1092,84.13,56,100,11.05,NE,1689302301
276,grand falls-windsor,48.9332,-55.6649,59.83,97,97,3.8,CA,1689302301
277,timaru,-44.4,171.25,55.08,86,40,4.0,NZ,1689302279
278,isetskoye,56.4858,65.3226,62.47,99,100,4.05,RU,1689302301
279,estevan,49.1334,-102.9842,70.0,52,0,10.36,CA,1689302302
280,kirovskiy,45.0917,133.5136,76.12,57,100,5.23,RU,1689302302
281,haiku-pauwela,20.9219,-156.3051,84.22,63,20,21.85,US,1689302302
282,fuding,27.3273,120.214,94.66,48,75,5.57,CN,1689302302
283,kakata,6.53,-10.3517,74.28,99,100,1.01,LR,1689302302
284,bel ombre,-4.6167,55.4167,78.64,78,20,9.22,SC,1689302303
285,sinabang,2.4803,96.3801,79.09,85,100,10.27,ID,1689302303
286,manavalakurichi,8.1333,77.3,80.74,77,100,14.16,IN,1689302303
287,yuto,-23.6434,-64.4719,51.42,86,44,0.72,AR,1689302102
288,sukabumi,-6.9181,106.9267,76.32,78,90,5.1,ID,1689302099
289,sitka,57.0531,-135.33,67.89,56,20,3.44,US,1689302303
290,ambalangoda,6.2355,80.0538,80.58,83,17,9.6,LK,1689302303
291,bridgewater,44.3835,-64.5155,69.12,88,95,5.75,CA,1689302303
292,saldanha,-33.0117,17.9442,48.25,50,60,9.86,ZA,1689302303
293,warrnambool,-38.3833,142.4833,55.85,61,100,21.45,AU,1689302304
294,los llanos de aridane,28.6585,-17.9182,74.95,41,0,16.11,ES,1689302304
295,haeju,38.0406,125.7147,75.72,97,100,9.91,KP,1689302232
296,dryden,49.7833,-92.7503,61.09,88,100,10.36,CA,1689302304
297,chebba,35.2372,11.115,78.28,65,0,9.35,TN,1689302304
298,san lawrenz,36.0553,14.204,74.86,77,0,6.06,MT,1689302304
299,bajitpur,24.2167,90.95,82.49,89,100,9.13,BD,1689302304
300,as sulayyil,20.4607,45.5779,86.25,16,100,5.66,SA,1689302305
301,guymon,36.6828,-101.4816,80.6,83,20,9.22,US,1689302305
302,celestun,20.8667,-90.4,82.94,78,28,16.89,MX,1689302305
303,yanykurgan,43.915,67.2481,85.17,21,0,17.09,KZ,1689302305
304,soure,-0.7167,-48.5233,79.36,84,93,11.1,BR,1689302305
305,kone,-21.0595,164.8658,74.89,48,45,8.19,NC,1689302305
306,wolmaransstad,-27.1974,25.9831,40.44,58,0,9.93,ZA,1689302175
307,kannauj,27.0546,79.922,79.79,91,100,8.93,IN,1689302305
308,nadi,-17.8,177.4167,80.6,57,75,14.97,FJ,1689302306
309,siavonga,-16.5382,28.7088,57.02,75,2,4.23,ZM,1689302306
310,preobrazheniye,42.9019,133.9064,62.35,87,100,13.13,RU,1689302306
311,lazaro cardenas,17.9583,-102.2,82.11,84,88,4.63,MX,1689302306
312,pesqueira,-8.3578,-36.6964,63.14,98,15,3.2,BR,1689302232
313,zaragoza,41.6561,-0.8773,72.81,57,0,4.61,ES,1689302306
314,chamical,-30.36,-66.314,45.72,54,5,3.36,AR,1689302306
315,waimea,20.0231,-155.6717,77.02,79,74,5.99,US,1689302307
316,luganville,-15.5333,167.1667,75.07,86,88,16.67,VU,1689302307
317,la mure,44.9026,5.7866,55.94,83,88,2.8,FR,1689302307
318,nar'yan-mar,67.6713,53.087,57.25,58,58,9.4,RU,1689302307
319,ocho rios,18.4025,-77.1048,78.8,79,85,7.11,JM,1689302307
320,staraya russa,57.9944,31.3608,57.25,83,30,4.45,RU,1689302307
321,pechora,65.1472,57.2244,56.71,80,100,1.77,RU,1689302308
322,valdivia,-39.8142,-73.2459,40.42,96,95,1.28,CL,1689302308
323,pangai,-19.8,-174.35,73.51,73,75,14.97,TO,1689302308
324,quepos,9.4236,-84.1652,77.11,96,100,5.08,CR,1689302308
325,canelli,44.7215,8.2924,73.49,96,49,1.88,IT,1689302308
326,dudinka,69.4058,86.1778,43.63,55,100,10.58,RU,1689302308
327,mejit,10.2753,170.8646,82.71,73,98,17.94,MH,1689302308
328,wloszczowa,50.8526,19.9659,61.27,86,89,5.41,PL,1689302309
329,tobelo,1.7284,128.0095,83.84,73,84,4.18,ID,1689302309
330,aripuana,-9.1667,-60.6333,74.8,63,17,1.01,BR,1689302049
331,guanica,17.9716,-66.908,83.05,69,96,8.1,PR,1689302309
332,humahuaca,-23.2054,-65.3505,43.59,9,28,3.4,AR,1689302309
333,boa esperanca do sul,-21.9925,-48.3908,56.07,84,98,7.92,BR,1689302309
334,afaahiti,-17.75,-149.2833,80.47,69,22,15.12,PF,1689302309
335,tidjikja,18.5564,-11.4271,94.53,15,90,8.28,MR,1689302310
336,ilha de mocambique,-15.0342,40.7358,72.48,65,6,19.46,MZ,1689302310
337,posto fiscal rolim de moura,-13.0833,-62.2667,72.14,62,13,8.72,BR,1689302310
338,gdynia,54.5189,18.5319,59.04,94,0,3.44,PL,1689302310
339,ganjam,19.3833,85.0667,85.84,72,100,9.89,IN,1689302310
340,siwa oasis,29.2041,25.5195,78.64,50,0,6.78,EG,1689302310
341,pacific grove,36.6177,-121.9166,72.21,78,0,9.22,US,1689302311
342,kayenta,36.7278,-110.2546,85.33,18,8,10.56,US,1689302311
343,mbandaka,0.0487,18.2603,69.12,93,98,3.89,CD,1689302311
344,vilyuchinsk,52.9306,158.4028,53.87,94,100,3.09,RU,1689302311
345,isangel,-19.55,169.2667,78.91,65,75,9.22,VU,1689302312
346,puerto baquerizo moreno,-0.9,-89.6,77.36,82,50,6.46,EC,1689302312
347,new norfolk,-42.7826,147.0587,60.3,78,100,8.01,AU,1689302312
348,birjand,32.8663,59.2211,75.67,27,0,13.8,IR,1689302312
349,dien bien phu,21.3833,103.0167,88.09,59,95,2.84,VN,1689302313
350,mangai,-4.05,19.5333,71.28,56,50,1.81,CD,1689302313
351,pangkalpinang,-2.1333,106.1333,86.31,60,63,7.05,ID,1689302313
352,salavan,15.7167,106.4167,90.63,54,62,5.08,LA,1689302313
353,lodja,-3.4833,23.4333,73.9,76,100,1.28,CD,1689302313
354,belmonte,-15.8631,-38.8828,72.84,86,7,10.4,BR,1689302313
355,chonchi,-42.6128,-73.8092,43.12,97,100,7.09,CL,1689302313
356,funafuti,-8.5243,179.1942,87.8,74,40,11.5,TV,1689302314
357,chinsali,-10.5414,32.0816,49.21,90,0,7.02,ZM,1689302314
358,karlskoga,59.3267,14.5239,54.72,90,69,8.66,SE,1689302072
359,marquette,46.5333,-87.6335,65.64,69,57,6.33,US,1689302314
360,slave lake,55.2834,-114.769,71.58,60,0,11.5,CA,1689302145
361,ancud,-41.8697,-73.8203,45.63,93,100,12.86,CL,1689302314
362,kununurra,-15.7667,128.7333,82.38,36,24,6.91,AU,1689302177
